,latitude,longitude
124,70.62826,25.35477
125,70.62221,25.35026
126,70.6168,25.3378
127,70.61095,25.32227
128,70.59942,25.29678
129,70.59222,25.27337
130,70.5895,25.2454
131,70.57947,25.24435
132,70.57072,25.23922
133,70.56015,25.20306
134,70.55327,25.17845
135,70.54507,25.15628
136,70.53837,25.13797
137,70.5357,25.11701
138,70.53167,25.09652
139,70.52618,25.09108
140,70.52057,25.07749
141,70.51028,25.06291
142,70.50117,25.03992
143,70.48921,25.05317
144,70.48535,25.0702
145,70.47974,25.06733
146,70.47265,25.0621
147,70.47119,25.04157
148,70.46925,25.00404
149,70.4691,24.96959
150,70.47193,24.93466
151,70.47833,24.8913
152,70.47199,24.83405
153,70.46011,24.7572
154,70.45656,24.71608
155,70.45137,24.68524
156,70.44623,24.64406
157,70.44126,24.60627
158,70.43822,24.55221
159,70.43264,24.52785
160,70.43154,24.50093
161,70.42182,24.50308
162,70.40826,24.49387
163,70.39993,24.46523
164,70.39042,24.44306
165,70.38021,24.43485
166,70.35639,24.35643
167,70.33636,24.30151
168,70.31976,24.23235
169,70.29802,24.17797
170,70.2971,24.14162
171,70.28116,24.09961
172,70.2401,24.08416
173,70.20686,24.0692
174,70.18743,24.03182
175,70.18642,23.9749
176,70.17657,23.89779
177,70.17936,23.85861
178,70.18121,23.82992
179,70.15902,23.73471
180,70.14028,23.67894
181,70.13188,23.62909
182,70.12516,23.59829
183,70.10824,23.55515
184,70.099,23.55277
185,70.08801,23.541
186,70.0786,23.54052
187,70.06531,23.54425
188,70.05664,23.55544
189,70.04465,23.55872
190,70.0392,23.56566
191,70.0293,23.54652
192,70.0219,23.53782
193,70.01482,23.53661
194,70.01104,23.51664
195,70.00377,23.50266
196,70.00106,23.48149
197,69.99579,23.48442
198,69.98393,23.48449
199,69.97488,23.46015
200,69.97014,23.43776
201,69.96416,23.41474
202,69.9632,23.38566
203,69.96948,23.37375
204,69.96936,23.37325
205,69.96825,23.35832
206,69.96759,23.33451
207,69.95958,23.30137
208,69.95958,23.27977
209,69.96359,23.26761
210,69.96521,23.26106
211,69.96381,23.25526
212,69.96077,23.23884
213,69.9545,23.2137
214,69.94766,23.19086
215,69.9487,23.17505
